Sesso,DataNascita,DataDecesso,EtaDecesso
M,1947-02-04,2012-01-17,64
F,1914-01-26,2003-12-19,89
M,1925-07-12,2001-12-26,76
F,1923-03-02,2019-05-08,96
F,1928-11-05,2015-08-30,86
M,1954-08-12,2003-05-22,48
F,1903-08-23,2000-11-03,97
F,1927-01-01,2010-05-18,83
F,1900-04-29,2001-04-20,100
F,1943-09-09,2005-12-24,62
F,1948-06-05,2000-05-03,51
F,1930-04-07,2018-05-17,88
F,1937-12-31,2019-08-28,81
M,1921-07-15,2015-02-15,93
M,1943-07-17,2002-08-01,59
M,1931-12-21,2014-12-27,83
F,1922-08-18,2017-08-19,95
M,1915-02-13,2008-06-11,93
M,1907-10-08,2001-05-13,93
F,1920-09-05,2010-01-09,89
F,1953-04-12,2009-08-18,56
F,1930-11-03,2008-05-14,77
M,1915-04-17,2000-12-21,85
M,1957-01-13,2015-05-13,58
M,1939-11-12,2009-03-30,69
M,1946-07-15,2008-04-14,61
F,1911-02-10,2000-01-15,88
F,1976-01-12,2002-06-22,26
F,1934-12-30,2001-11-18,66
F,1931-05-06,2007-01-23,75
F,1925-12-14,2013-06-25,87
F,1934-07-21,2003-09-21,69
F,1936-03-29,2020-12-21,84
M,1935-05-04,2007-11-26,72
M,1939-03-30,2007-03-08,67
M,1926-01-06,2005-09-22,79
M,1941-01-30,2017-05-18,76
M,1928-07-24,2004-04-26,75
F,1921-05-21,2015-01-25,93
F,1925-01-07,2009-07-21,84
M,1931-01-29,2012-08-20,81
F,1929-10-13,2013-02-17,83
M,1944-01-05,2017-11-01,73
F,1930-05-20,2016-05-20,86
F,1910-07-07,2004-04-30,93
M,1982-02-14,2006-04-25,24
F,1926-02-18,2019-04-19,93
M,1904-03-26,2011-03-26,107
M,1922-05-14,2003-11-23,81
M,1934-09-07,2008-04-12,73
M,1935-09-15,2002-11-09,67
F,1929-09-28,2019-05-30,89
F,1916-02-01,2011-11-06,95
M,1937-07-02,2004-09-23,67
F,1929-04-25,2000-01-23,70
M,1931-04-08,2017-01-30,85
M,1925-02-20,2002-11-17,77
F,1919-09-24,2011-10-23,92
F,1934-12-08,2019-08-08,84
M,1929-01-03,2004-01-16,75
M,1966-06-13,2011-07-04,45
M,1946-06-18,2008-07-07,62
